1;101A 002;Короткий блок двигателя без вспомогательных агрегатов;media/scheme/101A_002.gif;1;1
2;102A 002;Комплект уплотнительных прокладок двигателя;media/scheme/102A_002.gif;1;1
3;110A 001;Блок цилиндров и поддон картера;media/scheme/110A_001.gif;1;1
4;110A 002;Блок цилиндров и поддон картера;media/scheme/110A_002.gif;1;1
5;111A 001;Головка блока цилиндров и крышка;media/scheme/111A_001.gif;1;1
6;270B 001;Отопитель и вентилятор;media/scheme/270B_001_RUfnJFT.gif;1;3
7;271A 001;Воздухоохладитель;media/scheme/271A_001.gif;1;3
8;272B 002;Блок управления;media/scheme/272B_002.gif;1;3
9;273A 001;Сопла и воздуховоды;media/scheme/273A_001.gif;1;3
10;278A 001;Трубопровод отопителя;media/scheme/278A_001.gif;1;3
11;112A 001;Двигатель, крепление трансмиссии;media/scheme/112A_001_icLGyPM.gif;1;2
12;310A 001;АКПП, ведущий мост в блоке с коробкой передач и крепления;media/scheme/310A_001.gif;1;2
13;315A 002;Муфта и тормозная лента;media/scheme/315A_002.gif;1;2
14;341A 002;Рычаг КПП и система тяг;media/scheme/341A_002.gif;1;2
15;381A 002;Главная передача переднего моста;media/scheme/381A_002.gif;1;2
16;220A 001;Система зажигания;media/scheme/220A_001.gif;1;4
17;226A 001;Электронный блок управления двигателем;media/scheme/226A_001.gif;1;4
18;230A_003;Крепления генератора переменного тока;media/scheme/230A_003.gif;1;4
19;233A_001;Стартер;media/scheme/233A_001.gif;1;4
20;240A_010;Проводка;media/scheme/240A_010.gif;1;4
21;B85 005;Угловой датчик;media/scheme/B85_005.gif;1;5
22;B51 003;Система автозапуска;media/scheme/B51_003.gif;1;5
23;B63 004;Противотуманная фара;media/scheme/B63_004.gif;1;5
24;B79 002;Воздухоочиститель;media/scheme/B79_002.gif;1;5
25;B80 001;Стереосистема, ТВ и навигация;media/scheme/B80_001.gif;1;5
